_source_id,Socio,Tipo de empresa,Tipo de socio,Pub./Priv.,Socio Estratégico,Prog. Inversión,Fecha ult. act.,Link a ficha/deck,Inversores,Etapa startup,Año constitución,Inversion recibida,Inversion buscada,Meses valle,Nivel de participación,Regiones interés actual,Regiones interés futuro,Cadena de valor,Resumen actividad,Fecha inicio fondos,Tamaño fondos,Min ticket,Max ticket,Fases enfoque,Regiones enfoque,Startups en portfolio,Interés en tecnologías,Interés en ámbitos,Interés en sectores,Cifra de negocio,Num. de empleados,Exportación,CNAE
25,BBraun,End User o Coporate,OIC,,0,0,,,,,10/03/1955,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
26,BBVA,End User o Coporate,OIC,privado,0,0,,,,,28/05/1857,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
27,bcb,Pyme tecnológica,Socio,privado,0,0,,,,,06/08/1996,,,,Activo,"Europa, Sudamérica, Norteamérica, Oriente Medio","Norteamérica, Europa, Sudamérica, Oriente Medio",Ingeniería e integración,"Termografía para aplicaciones científicas e industriales, y distribuidores (e integradores) de FLIR",,,,,,,,,,,"569.072,02 €",7,30 %,6201
28,Beamagine,Micropyme tecnológica,Socio,privado,,0,,,,,10/06/2016,,,,Nuevo,,,Fabricación de sistemas,Fabricación e integración de sistemas multimodales basados en lídar. Percepción 2D+3D basada en IA.,,,,,,,,,,,"450.631,57 €",5,32 %,7490
29,Beawre,Startup o Spinoff,Socio,privado,0,0,,,,Semilla,01/02/2019,,0,,Nuevo,,,Fabricación de sistemas,Desarrollo de Software para control continuo de riesgos,,,,,,,,,,,"450.000,00 €",7,25 %,6201
30,Big Sur Ventures,Inversores y gestoras de VC o PE,Socio,privado,0,1,,,,Serie A,05/12/2018,,,,Nuevo,,,Inversores,GESTORA REGULADA POR CNMV DE FONDOS DE CAPITAL RIESGO,,60000000,1000000,3000000,Serie A,Europa,52,Fotónica; Microelectrónica y Semiconductores; Tecnologías Cuánticas,Energía limpia y eficiente,Sector energético,No definido,N/A,N/A,6430
31,BIOBEE semiconductors,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQANdtZ4DCs_RJ_ZBvQu_DeYARqAfDtaQazEvKmX_9I3c54?e=KHNgIK,,Pre-semilla,30/08/2012,,2500000,,Nuevo,"Europa, Sudamérica, América Central y Caribe","Europa, Norteamérica",Fabricación de componentes,Fabless de semiconductores de bioimpedancia con un ASIC analógico propio patentado.,,,,,,,,,,,"201.995,00 €",3,50 %,7211
32,Biyiud,Startup o Spinoff,Socio,privado,0,1,,,,Pre-semilla,21/06/2021,140000,500000,,Nuevo,,,I+D,Servicios digitales para incentivar la producción y el consumo sostenibles,,,,,,,,,,,"10.000,00 €",6,0 %,6201
33,Blind Faith Ventures,Inversores y gestoras de VC o PE,Potencial,N/A,,,,,,,,,,,No definido,,,Inversores,N/A,,,,,,,,,,,No definido,N/A,N/A,N/A
34,BSH,End User o Coporate,OIC,privado,,0,,,,,18/01/1984,,,,Nuevo,,,Usuario final,Gran Empresa. Usuario final.,,,,,,,,,,,"1.534.950.000,00 €",4401,54 %,2751
35,Bullnet Capital,Inversores y gestoras de VC o PE,Socio,privado,0,1,,,,Serie A,04/07/2002,,,,Nuevo,,,Inversores,INVERSOR,01/01/2022,80000000,1000000,3000000,"Pre-semilla, Semilla, Serie A",,15,Fotónica; Microelectrónica y Semiconductores,,,"1.088.480,11 €",6,20 %,6499
36,CalSens,Pyme tecnológica,Socio,privado,0,0,,,,,09/08/2013,,,,Inactivo,,"Europa, Sudamérica, Norteamérica",Fabricación de componentes,Smart monitoring systems for structures and processes,,,,,,,,,,,"666,92 €",14,20 %,7112
37,Cargill,End User o Coporate,OIC,,0,0,,,,,17/05/2001,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
38,CAT UAV,Pyme tecnológica,Socio,privado,0,0,,,,,09/03/2009,,,,No definido,"Europa, SE Asiático, NE Asiático, África, Oriente Medio, Sudamérica, Australia y Oceanía",,Fabricación de sistemas,Diseño y fabricación de drones,,,,,,,,,,,No definido,12,70 %,3030
39,CCL Label,End User o Coporate,OIC,privado,0,0,,,,,15/03/1991,,,,No definido,,,Usuario final,Gran empresa,,,,,,,,,,,"4.800.000.000,00 €",20000,N/A,N/A
40,CD6 - UPC,Centro o Grupo de I+D+i,Socio,publico,,0,,,,,01/03/1971,,,,Believer,Sudamérica,Norteamérica,I+D,Centro transferencia tecnológica,,,,,,,,,,,"1.200.000,00 €",50,4 %,8543
41,CDTI,Entidades Públicas e Instituciones,Socio,privado,1,0,,,,,,,,,Nuevo,,,Transferencia de tecnología,"El Centro para el Desarrollo Tecnológico y la Innovación, CDTI E.P.E. es una empresa pública dependiente del Ministerio de Ciencia, Innovación y Universidades, cuyo objetivo es la promoción de la innovación tecnológica en el ámbito empresarial. La misión del CDTI es conseguir que el tejido empresarial español genere y transforme el conocimiento científico-técnico en crecimiento globalmente competitivo, sostenible e inclusivo. En 2025, en el marco del Plan Estratégico 2024-2027, el CDTI proporcionó más de 2.000 millones de euros de apoyo a empresas y startups españolas.",,,,,,,,,,,"1.817.000.000,00 €",365,0 %,N/A
42,CEIT,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,09/09/1982,,,,Believer,,,Transferencia de tecnología,Centro Transferencia tecnológica,,,,,,,,,,,"11.000.000,00 €",225,20 %,721
43,Celsa,End User o Coporate,Socio,privado,,0,,,,,01/01/1967,,,,Nuevo,,,Usuario final,Gran empresa. Grupo siderúrgico,,,,,,,,,,,"832.840.000,00 €",836,N/A,2452
44,CEMDATIC - UPM,Centro o Grupo de I+D+i,Socio,publico,,0,,,,,01/01/1971,,,,Nuevo,,,I+D,Educación e Investigación,,,,,,,,,,,No definido,6,0 %,8543
45,CIMNE,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,01/01/1987,,,,Nuevo,,,"I+D, Transferencia de tecnología",Investigación Científica y Técnica,,,,,,,,,,,"14.471.890,00 €",178,68 %,478525678
46,Clave Capital,Inversores y gestoras de VC o PE,Potencial,,1,1,,,,,,,,,No definido,,,No definido,Entidad de Capital Riesgo,,100000000,,,Serie A,,90,,Industria 4.0; Salud y bienestar,Fabricación industrial; Salud,No definido,N/A,N/A,N/A
47,CODORNIU,End User o Coporate,OIC,privado,0,0,,,,,01/01/1551,,,,No definido,,,Usuario final,Gran empresa,,,,,,,,,,,"172.206.130,00 €",442,N/A,N/A
48,Coherent España,Gran Empresa tecnológica,Socio,privado,0,0,,,,,29/12/2023,,,,Activo,,,Distribución,"Distribuidor de aparatos de tipo óptico y materiales eléctricos y electrónicos, el diseño, ensamblaje y comercialización de equipos láser. ",,,,,,,,,,,"8.300.000,00 €",35,20 %,165450
49,Continental Automotive Spain,End User o Coporate,OIC,privado,0,0,,,,,07/01/1959,,,,No definido,,,Usuario final,Grupo automovilístico,,,,,,,,,,,"296.040.898,00 €",850,N/A,N/A
50,COVAP,End User o Coporate,Socio,privado,0,0,,,,,01/01/2015,,,,Nuevo,,,Usuario final,Agroalimentario,,,,,,,,,,,"200.000.000,00 €",N/A,N/A,1054
51,CRB Health Tech,Inversores y gestoras de VC o PE,Potencial,,0,1,,,,,,,,,No definido,,,No definido,,,50000000,500000,1500000,"Semilla, Serie A",Europa,,,Salud y bienestar,Salud,No definido,N/A,N/A,N/A
52,CVBLab,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,19/06/1987,,,,Nuevo,,,I+D,Inteligencia artificial aplicada,,,,,,,,,,,"500.000,00 €",25,50 %,8543
53,CVC,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,01/06/1981,,,,Believer,,,"I+D, Transferencia de tecnología",Centro I+D y transferencia tecnológica,,,,,,,,,,,"2.177.838,00 €",38,0 %,7219
54,DeepTech Builder,Inversores y gestoras de VC o PE,Baja,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQCw0zKjUBGCTb4YDrJ8M3pwAT_GASlx22IGL8DW9ZTQWPk?e=ep9app,,Pre-semilla,,,3000000,,Nuevo,,"Europa, Sudamérica, América Central y Caribe",Transferencia de tecnología,DeepTech Venture Building,11/11/2025,3000000,30000,250000,Pre-semilla,Europa,0,Biotecnología; Inteligencia Artificial y datos; Materiales Avanzados,"Acción climática y medio ambiente; Agricultura, bosques y océanos; Energía limpia y eficiente; Gestión de la innovación; Salud y bienestar; Seguridad alimentaria",Agroalimentación; Industria química; Medioambiente; Sector farmacéutico,"20.251.111,00 €",2,0 %,N/A
55,Delvy,Micropyme tecnológica,Socio,privado,,0,,,,,10/02/2016,,,,No definido,"Europa, Sudamérica",,I+D,Despacho de abogados para emprendedores y abogados para startups,,,,,,,,,,,No definido,N/A,N/A,6910
56,"Demea Sustainable Investments, S.A.",Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,,,,,,,,,,,,No definido,N/A,N/A,N/A
57,Deneb Medical,Micropyme tecnológica,Socio,privado,0,0,,,,,19/03/2014,,,,Nuevo,,,I+D,Investigación y desarrollo experimental en biotecnología,,,,,,,,,,,"0,00 €",16,0 %,7211
58,Diip Artificial Intelligence,Startup o Spinoff,Socio,privado,0,0,,,,Semilla,27/10/2023,0,0,,Nuevo,,,Fabricación de sistemas,ACTIVIDADES DE PROGRAMACIÓN INFORMÁTICA,,,,,,,,,,,"30.000,00 €",2,0 %,6201
59,Draco Systems,Micropyme tecnológica,Socio,privado,0,0,,,,,13/01/2004,,,,Nuevo,,,Ingeniería e integración,Servicios Integrales de Ingeniería Electrónica,,,,,,,,,,,"1.400.000,00 €",10,5 %,7112
60,Dronomy,Startup o Spinoff,Socio,privado,0,0,,,,,19/05/2021,,0,,Nuevo,,,Fabricación de sistemas,Desarrollo de sistemas robóticos autónomos,,,,,,,,,,,"16.138,00 €",2,N/A,6209
61,EASO VENTURES SCR,Inversores y gestoras de VC o PE,Socio,privado,0,1,,,,,,,,,Nuevo,,,Inversores,"Venture Capital. Inversión en empresas españolas con fuerte componente tecnológico en fases Preseed, Seed y Serie A",04/01/2026,50000000,100.000,2.000000,"Pre-semilla, Semilla, Serie A",Europa,37,Todas,"Energía limpia y eficiente; Industria 4.0; Movilidad inteligente; New Space, defensa y seguridad; Seguridad alimentaria; Smart cities",Todos,"4.000.000,00 €",19,0 %,N/A
62,Elewit,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,Corporate Venture,01/01/2024,,500000,2000000,"Semilla, Serie A",,9,,Energía limpia y eficiente; Movilidad inteligente,Sector energético,No definido,N/A,N/A,N/A
63,Encomenda,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,,,40000000,100000,500000,"Pre-semilla, Semilla, Serie A",Europa,,,,,No definido,N/A,N/A,N/A
64,Eurecat,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,01/01/2014,,,,Nuevo,,,"I+D, Transferencia de tecnología",Centro I+D y transferencia tecnológica,,,,,,,,,,,"13.394.683,08 €",558,22.7 %,7219
65,Evlox,End User o Coporate,OIC,privado,,0,,,,,01/01/1846,,,,Nuevo,,,Usuario final,Industrial Textil,,,,,,,,,,,"46.000.000,00 €",520,95 %,842
66,EXOM engineering,Startup o Spinoff,Socio,privado,0,1,,https://secpho.sharepoint.com/:b:/s/secphoteam2/IQBoD5Yv-JhuQaF4nyBy2mSGAe2dqP-CeRwJpUR9118fwk4?e=RRJb9W,,Pre-semilla,30/10/2018,0,3000000,,Believer,,,"Fabricación de componentes, Fabricación de sistemas, Ingeniería e integración","Fabricación de maquinaria, componentes, software y electrónica de control y monitorización para procesos de fabricación avanzada.",,,,,,,,,,,"15.000,00 €",9,90 %,2841
67,Fagor Automation,Gran Empresa tecnológica,Socio,privado,1,0,,,,,,,,,Nuevo,"Norteamérica, NE Asiático, SE Asiático, Europa","Norteamérica, América Central y Caribe, NE Asiático, SE Asiático, Europa",Fabricación de componentes,Desarrollo y fabricación de productos de automatización y control para máquina-herramienta y otros sectores,,,,,,,,,,,"80.000.000,00 €",500,90 %,N/A
68,Fides Capital,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,,,,,,,,,,,,No definido,N/A,N/A,N/A
69,FOSSA Systems,Pyme tecnológica,Socio,privado,0,1,,,,Serie A,13/07/2020,6300000,15000000,,Nuevo,,,"Fabricación de sistemas, Ingeniería e integración","Diseño, desarrollo y operación de constelaciones de satélites LEO habilitando soluciones IoT de bajo consumo para la gestión remota de activos.",,,,,,,,,,,"990.000,00 €",35,50 %,3030
70,Frit Ravich,End User o Coporate,OIC,privado,,0,,,,,01/03/1974,,,,No definido,,,Usuario final,,,,,,,,,,,,"302.000.000,00 €",968,N/A,N/A
71,Fujitsu,Gran Empresa tecnológica,Socio,privado,0,0,,,,,07/06/2002,,,,Nuevo,,,Ingeniería e integración,TIC y Servicios Tecnológicos,,,,,,,,,,,"259.351.000,00 €",1543,0 %,6209
72,FUNDACIÓN GENERAL CSIC,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,,,,,Nuevo,Europa,Europa,Transferencia de tecnología,"La FGCSIC se constituye con la misión fundamental de cooperar con el Consejo Superior de Investigaciones Científicas (CSIC) en la ejecución de actividades de investigación e innovación en colaboración con todos los integrantes del sistema de ciencia e innovación que se consideren oportunos. En particular, su objetivo principal consiste en la captación y gestión de recursos, activos y financiación públicos y privados para el desarrollo de iniciativas público-privadas en el CSIC y otras entidades públicas o privadas de I+D+i / I+i, vinculadas a las funciones que tienen encomendadas. Igualmente, serán fines de la FGCSIC la realización y/o gestión de actividades de investigación, desarrollo e innovación, así como el apoyo a la generación de conocimiento científico o tecnológico, o la asistencia para facilitar su aplicación y transferencia en cualquier forma.",,,,,,,,,,,"82.231,00 €",15,0 %,N/A
73,Fundación Idonial,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,01/01/2019,,,,Nuevo,,,"I+D, Transferencia de tecnología",Centro Tecnológico,,,,,,,,,,,"9.000.000,00 €",160,0 %,7219
74,GPAINNOVA,Pyme tecnológica,Socio,privado,,0,,,,,16/07/2013,,,,Nuevo,,,Fabricación de sistemas,grupo de empresas tecnológicas especializada en maquinaria industrial,,,,,,,,,,,"15.000.000,00 €",180,70 %,2899
75,Graphenea,Pyme tecnológica,Socio,privado,0,0,,,,,09/04/2010,,,,Nuevo,,,Fabricación de componentes,Graphene foundry,,,,,,,,,,,"3.088.000,00 €",24,98 %,7219
76,Greenlight Solutions,Micropyme tecnológica,Socio,privado,0,0,,,,,15/09/2019,,,,Nuevo,,,Fabricación de sistemas,Diseño óptico. Suministro de componentes. Formación en diseño óptico con Zemax. ,,,,,,,,,,,"843.218,00 €",5,5 %,7112
77,Grupo Elecnor,End User o Coporate,OIC,,0,0,,,,,,,,,No definido,,,Usuario final,,,,,,,,,,,,No definido,N/A,N/A,N/A
78,Grupo Oesía,Gran Empresa tecnológica,Socio,privado,0,0,,,,,07/10/2016,,,,Nuevo,"Norteamérica, Sudamérica, NE Asiático, Australia y Oceanía, Europa, Oriente Medio, África",SE Asiático,Fabricación de sistemas,"Grupo Oesía somos una multinacional española de ingeniería digital e industrial de uso dual.  Desarrollamos productos y soluciones con el compromiso de crear un futuro en el que la tecnología responda a los retos del planeta y sus habitantes.  En nuestra apuesta por la hiperespecialización actuamos a través de 5 marcas: Oesía Networks para transformación digital; Tecnobit para tecnologías de vanguardia en visión inteligente, simulación y comunicaciones tácticas y seguras; Cipherbit para ciberseguridad y comunicaciones seguras (cifra); UAV Navigation para sistemas de guiado, navegación y control para vehículos aéreos no tripulados; e Inster para comunicaciones satelitales terrestres, navales, aéreas y espaciales.",,,,,,,,,,,"256.089.000,00 €",3600,29 %,N/A
79,Hamamatsu Photonics,Gran Empresa tecnológica,Socio,privado,0,0,,,,,21/03/1997,,,,Believer,"Europa, NE Asiático, SE Asiático, Norteamérica",,"Distribución, Fabricación de componentes",Distribuidor.,,,,,,,,,,,"3.500.000,00 €",6,0 %,4774
80,Hasten Ventures,Inversores y gestoras de VC o PE,Potencial,privado,0,1,,,,,,,,,No definido,,,Inversores,"Venture Builder especializado en Deeptech. Más de 12 años de experiencia en la creación, lanzamiento y escalado de nuevos negocios de base científico-tecnológica provenientes de universidades y centros tecnológicos. Inversión en los proyectos a través del pledge fund HASTEN KAPITAL",,1500000,50000,250000,"Pre-semilla, Semilla",Europa,8,Fotónica; Microelectrónica y Semiconductores,Salud y bienestar,Salud,No definido,N/A,N/A,N/A
81,HIMIKODE,Startup o Spinoff,Socio,privado,0,1,,,,,15/11/2018,895000,1000000,,Nuevo,,,Fabricación de sistemas,"Digitalización del canal HORECA mediante soluciones tecnológicas basadas en IoT, Big Data e IA para la industria alimentaria que opera en ese canal.",,,,,,,,,,,"51.665,00 €",6,0 %,6209
82,Hospital Clínic de Barcelona,Centro o Grupo de I+D+i,OIC,publico,,0,,,,,22/12/1906,,,,No definido,,,Usuario final,Hospital General,,,,,,,,,,,"514.778,00 €",4635,0 %,8610
83,Hospital Germans Trias i Pujol,Centro o Grupo de I+D+i,OIC,publico,0,0,,,,,14/04/1983,,,,No definido,,,Usuario final,Sanidad,,,,,,,,,,,"200.000.000,00 €",7766,N/A,N/A
84,HP,End User o Coporate,OIC,privado,,0,,,,,01/01/1939,,,,Nuevo,,,Usuario final,Printing and Computing,,,,,,,,,,,"729.387.000,00 €",2328,98 %,2620
85,ICF CAPITAL,Inversores y gestoras de VC o PE,Potencial,,0,0,,,,,,,,,No definido,,,No definido,,,,,,,,,,,,No definido,N/A,N/A,N/A
86,ICFO,Centro o Grupo de I+D+i,Socio,privado,,0,,,,,01/01/2002,,,,Believer,"Europa, NE Asiático, SE Asiático, Norteamérica",,"I+D, Transferencia de tecnología",Centro I+D y transferencia tecnológica,,,,,,,,,,,"18.000.000,00 €",300,0 %,7219
87,ICMAB - CSIC,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,01/01/1986,,,,Nuevo,"Europa, SE Asiático, NE Asiático","Norteamérica, Australia y Oceanía",I+D,"I+D, Transferencia de tecnología",,,,,,,,,,,"15.000.000,00 €",400,0 %,7219
88,ICMM,Entidades Públicas e Instituciones,Socio,privado,0,0,,,,,25/04/2007,,,,Nuevo,,,I+D,"Centrado en el diseño, síntesis y caracterización de nuevos materiales para aplicaciones tecnológicas",,,,,,,,,,,"20.800.000,00 €",380,0 %,N/A
89,IKERLAN,Centro o Grupo de I+D+i,Socio,privado,0,0,,,,,01/01/1974,,,,Nuevo,,,Transferencia de tecnología,"IKERLAN es un centro tecnológico cooperativo de investigación aplicada y transferencia de tecnología, orientado a mejorar la competitividad de la industria mediante soluciones avanzadas. Forma parte de MONDRAGON, y desarrolla tecnologías clave en digitalización, electrónica, IA, energía y sistemas industriales en colaboración con empresas y programas europeos.",,,,,,,,,,,"33.000.000,00 €",400,5 %,N/A
90,Imasenic,Micropyme tecnológica,Socio,privado,0,0,,,,,05/04/2017,,,,Nuevo,"Europa, NE Asiático, Norteamérica, Asia Central y Meridional","Norteamérica, Europa, NE Asiático, Australia y Oceanía, Asia Central y Meridional, Oriente Medio","Fabricación de componentes, Ingeniería e integración",Diseño de sensores CMOS de imagen,,,,,,,,,,,"2.500.000,00 €",17,90 %,2732
91,IMB-CNM,Centro o Grupo de I+D+i,Socio,publico,0,0,,,,,01/01/1985,,,,No definido,Sudamérica,Norteamérica,I+D,Centro I+D,,,,,,,,,,,"4.600.000,00 €",207,N/A,N/A
92,IN2UB,Centro o Grupo de I+D+i,Socio,publico,,0,,,,,01/01/1980,,,,Poco activo,,,"I+D, Ingeniería e integración, Transferencia de tecnología","Polarimetric characterization, novel photonic structures and devices fabrication, photonic characterization.",,,,,,,,,,,"5.900.000,00 €",110,0 %,7219
93,INBROOLL,Micropyme tecnológica,Socio,privado,,0,,,,,08/02/2013,,,,Nuevo,,,Ingeniería e integración,Servicios de ingeniería,,,,,,,,,,,"2.959.357,00 €",22,10 %,7112
