matched_socio_name,registration_rows
COCUUS,2
Pyroistech,2
Fraunhofer HHI,2
ICN2 – Institut Català de Nanociència i Nanotecnologia,2
HP Inc,2
Private person,2
Self,2
Keltie,2
Nuavis,2
Itainnova,2
AIDA CCI,2
Clermont Auvergne Métropole,2
MINCOTUR,2
Arquimea Research Center,2
José María Lázaro SA (TAISI),2
Florette,2
"Faculty of sciences of Monastir, Tunisia",2
AquaBioTech Group,2
Collateral Bits,2
Oficina Comercial Embajada de Chile en España,2
Beia Consult,2
Generalitat de Catalunya,2
Inecosys GmbH,2
Cluster Photonics (WFBB Brandenburg),2
Cambridge Consultants,2
The Hebrew University of Jerusalem,2
Hamamatsu,2
Chances and Opportunities Venutures,2
ARO,2
NSPA,2
Masinotek,2
Agencia de Desarollo Económico Brandenburgo (WFBB),2
SGR Biomethane,2
Orkla,2
HP Indigo,2
Ecoiberia SA,2
Geological Survey of Finland,2
Uponor Infra Oy,2
ColloidTek,2
Universidad Nacional de Cajamarca,2
BCD Barcelona Centre de Disseny,2
Nice Tech,2
ITC Packaging,2
Cicap,2
Tecniraya S.L.,2
UVa-IOBA – Instituto de Oftalmobiología Aplicada,2
Ctic Cita,2
Universidad Tecnologica UTEC,2
Aistech Space,2
Baumer Group,2
Fertiberia,2
CSIC-UPC – Institut de Robòtica i Informàtica Industrial / UB – Facultat de Filosofia,2
CSIC – Instituto de Filosofía,2
Suara Serveis S.C.C.L.,2
Fundación Esplai,2
Neurologyca Science & marketing SL,2
FEUGA,2
SITEP,2
Peta Optik,2
private investor,2
OSO - The Agency,1
ACCIà,1
Goldcoast food,1
National Beekeepers Association,1
Karma Grup Etiket Barkod ve G?da Dan??manl?k San. Tic. Ltd. ?ti.,1
www.photonicinsights.com,1
Natureef Association,1
UNIMOS,1
"ERIGAL,SL",1
Agrifood FVG Bioeconomy Cluster Agency,1
Agrifood & Bioeconomy FVG Cluster Agency,1
Catalonia Trade & Investment Amsterdam,1
VIFU,1
Plantaze a.d.,1
UNIGE,1
Flanders\'FOOD,1
"ILVO, Food Pilot",1
Tematys,1
LINKS Foundation,1
Flanders Food,1
Aalborg University Copenhagen,1
IVIM Technology,1
cdta,1
SG Papertronics,1
Novation city,1
Tekfen Engineering,1
Centro de Microanálisis de Materiales,1
Functional Print Cluster,1
PredictLand,1
PrintSYSt,1
Grabit,1
Auren innovación,1
CENTIMFE,1
Cluster TIC INFOPOLE,1
AERTIC – AEI Del Sector de las Tecnologías de la Información de La Rioja,1
Sensing Tex,1
GM Gestions,1
Cluster Foodservice de Cataluña,1
Seven Solutions,1
USC-GRIN – Grupo de Microoptica y Óptica,1
LASER TECHNOLOGY,1
CNM-CSIC – Instituto de Micro y Nanotecnología,1
MINISTERIO DE DEFENSA,1
i2CAT,1
Consorcio Nacional de Industriales del Caucho,1
UB,1
MedLumics,1
Cie Galfor,1
Universidad de Salamanca,1
Ledmotive,1
Rovimática,1
Universidad Pública de Navarra,1
TRIGO,1
Sisteplant,1
Alcoa,1
PHB Weserhütte (Grupo TSK),1
NAITEC,1
CARTIF Centro Tecnológico,1
Naitec,1
Cartif,1
ChemoSens - URV,1
Universidad Autónoma de Chiapas,1
IEMN CNRS UMR 8520,1
Ferdinand-Braun-Institut,1
TT,1
CTAG,1
OZOptics,1
University of Waterloo,1
Universidad P£blica de Navarra,1
"Fraunhofer Heinrich Hertz Institute, Berlin",1
GOTL – UC3M,1
IIT KHARAGPUR,1
Circle n,1
Excell Battery,1
CiTIUS - USC,1
Ipsumio BV,1
BOSETEIN,1
Tele- and Radio Research Institute,1
Gestamp,1
IED Electronics,1
Iparragirre Eraikuntza lanak,1
VICINAY MARINE,1
Sife,1
Kaytek,1
FIDESOL,1
Code Contract,1
K Boateng 2017 Enterprise,1
UTEK,1
Gyrobikers S.L.,1
SkanSense,1
Innitius,1
Tanjomar Investment Company S.L.,1
28DIGITAL,1
Instituto IMDEA Materiales,1
Oxígeno 21 Inversiones S.L.,1
Cetemet,1
Embutidos Bernal,1
Unizar,1
Future Space,1
Agropecuaria Obanos,1
Upna,1
ARTICA INGENIERA E INNOVACION,1
CSIC,1
University of Guanajuato,1
ALIANZA NANOTECNOLOGÃA DIAGNÃSTICA,1
CNTA,1
IBEROPTICS SISTEMAS ÓPTICOS,1
TAFIQS IN FOODS S.L.,1
Universidad Publica de Navarra,1
Iberoptics Sistemas Ópticos,1
La Zaragozana S.A.,1
Oleica,1
CLUSTER ARAGONES DE ALIMENTACION,1
Juschem Solutions Pvt Ltd,1
ABSOLUTE WATER PVT. LTD,1
ESL Consulting,1
"Marinescape,nz",1
SVVU,1
HydrOptimise,1
RTT Consulting Engineers,1
Zini Fish Farms,1
Independent Consultant,1
Assystem,1
Benchmark Genetics,1
MAScIR,1
SINTEF AS,1
AMCL,1
Durban university of Technology,1
CSIR Central Glass and Ceramic Research Institute Kolkata India,1
National Aquaculture Group,1
GreenPebble Technologies LLP,1
Techmo Voice Technologies,1
wofil,1
Cluster Aragones de Alimentación,1
Centro Tecnológico FUNDITEC,1
"AIDIMME – Instituto Tecnológico Metalmecánico, Mueble, Madera, Embalaje y Afines",1
Click-IT Technologies,1
Mecanitzats PRIVAT,1
NUI galway,1
BEIA Consult International,1
UNU MERIT (MPP student) & Greek Ministry of Finance (permanent official),1
Nippongases,1
Chaire photonique,1
mimete srl,1
Mimete Srl,1
"Department of Mechanical Engineering, Birjand University of Technology",1
Beia Consult International,1
Lortek / Baja de Lortek en junio 2022,1
Ahora trabaja en SAYER,1
CLPU,1
NAGRIFOOD,1
Franquiciasecommerce.com,1
Talleres Nocu,1
FLUXUNIT GmbH – OSRAM Ventures,1
STARTUP LEAGUE / BIBA Venture Partners,1
CityTaps SAS,1
Green Killer Weeds,1
Aero-H2O,1
Beable Capital,1
IMMERSIVE_FACTORY,1
VISSEIRO,1
Teratonics,1
EIT FOOD,1
no working,1
HAYS,1
University of Vigo,1
HAMAMATSU,1
Reid Acoustic Designs Ltd,1
caeleste,1
PROTON TECHNOLOGIES,1
Fraunhofer UK,1
Sultan Qaboos University,1
IIT Gandhinagar,1
A,1
Universidad Carlos III de Madrid,1
National Physical Laboratory,1
University of Perugia,1
Università degli studi di Perugia,1
Empa,1
Agro drone,1
Entrepreneur,1
Bumblebee,1
Florafotonica,1
Hazera seeds,1
Elbit Ssystems,1
Equinom ltd,1
ORT Israel,1
Agronostic,1
???? ???? ?????,1
ARO Volcani Center,1
ICL,1
XNEXT,1
Volcani Center,1
Aster Fab,1
"RECENDT , JKU",1
Technical University of Koice,1
HE-Arc,1
CCI,1
Indian Institute of Science,1
Polarimetrics S.L.,1
"The Institute of Agricultural Engineering, Volcani Center",1
ARO Volcani,1
"ARO, Volcani Center",1
Instituto Pedro Nunes,1
REGID International,1
Freshseal Ltd,1
Chamber of Commerce and Industry-Chamber of Agricultural and Food Enterprises,1
Nirma,1
University of Montpellier,1
OSIRU Farm,1
hpbe,1
Leibniz Institute Of Photonic Technology,1
vulcani,1
Lighty,1
Hamamatsu Photonics Deutschland GmbH,1
Sallent Consulting,1
Dimedium,1
CIT UPC,1
United Nations Industrial Development Organization,1
HP Inc.,1
ART-ER S.CONS.P.A.,1
CRPA SpA,1
ART-ER,1
Northern Alberta Institute of Technology,1
Biena Tech,1
NIER,1
Canada\'s Ocean Supercluster,1
Engineer,1
Gardline Ltd,1
Engineering and management consultant,1
Sustainable Marine Energy Ltd,1
Municiopality of Digby,1
Centro Ricerche Animali-CRPA SpA,1
JMK Engineering Inc.,1
PanGeo Subsea Inc,1
Orkla Foods Norge AS,1
Sealed Air,1
Noida institute of engineering and technology,1
"Bio-Oils Huelva, S.L.U.",1
agricola,1
SENARGA,1
Arc Eurobanan S.L.,1
IPE,1
Systematic Paris Region,1
"""Foundation \""""Institute for Environmental Solutions\""""""",1
Institute of Agricultural Resources and Economics,1
Food-Processing Initiative e.V.,1
AIJU,1
"ITENE – Instituto Tecnológico del Embalaje, Transporte y Logística",1
Gerosa Group,1
Diadeis,1
Torrecid Group,1
Idg,1
ÁFRICA RODRIGUEZ LEIVA,1
Independiente,1
Ovelar,1
Universidad Tecnológica de Panamá,1
Alltech,1
"Idea Chocolate, S.L.U",1
AgroSup Dijon,1
ROQUETTE,1
CNR,1
Brahma Strategies Pvt Ltd,1
EAE,1
Student,1
R?mkalni Nordeco,1
Huhtamaki Spain,1
University,1
Not applicable,1
ENTERPRISE EUROPE NETWORK,1
Lactips,1
SMFB,1
Agrosup Dijon,1
myWorkUp,1
SCG,1
Indian institute of science,1
"Faculty of Technology and Metallurgy, University of Belgrade",1
Blue Dot Solutions,1
Deltaprojekt Ltd.,1
Greentech Cluster,1
EnergoVizija Ltd.,1
Alma Mater Studiorum - Universit di Bologna,1
University of Oulu,1
Proambiente,1
Laboratorio Energia Ambiente Piacenza (LEAP),1
Oulu University of Applied Sciences,1
AFRY Finland,1
CNR-ISTEC,1
SATEL,1
Cluster of Bioeconomy and Environment of Western Macedonia (CluBE),1
Regenera,1
KAMK University of Applied Sciences,1
LEAP s.c.a r.l - Laboratory for Energy and Environment in Piacenza,1
Catalan Institute for Water Research (ICRA),1
Optoseven Oy,1
"University of Oulu, Finland",1
Medcom,1
Leibniz-Institute of Surface Modification,1
CluBE,1
IWA,1
Cranfield University,1
Diet Maze,1
Calaf Grup,1
Inphotech,1
Medlumics,1
ROOM2030,1
Decennial S.L.,1
Adasa Sistemas,1
FEUP – Faculdade de Engenharia da Universidade do Porto,1
Fundación Instituto Catalán del Corcho,1
Idneo,1
Miguel Torres,1
Hiperbaric,1
Dicomol,1
Nathi Toro,1
ALDI Central de Compras,1
CAMVI GREEN GROUP,1
Fos Translations,1
NAGATERM S.L,1
Zermatt,1
Laboratorios Nancy Flórez García SAS,1
Impresos & Diseños SAC,1
BCR,1
BIT Intellitech SL,1
Albacora,1
Unió Corporació Alimentària,1
Syvila,1
Tarazona S.L.U.,1
Ebredrone,1
"S,C,P,F…",1
Caixa Capital Risc,1
Ypsicon,1
Autónoma Freelance,1
Universidad de Murcia,1
UPV – Departamento de comunicaciones,1
Reding,1
Ingenergía SpA,1
SKF Española S.A.,1
Universidad Nacional de Colombia,1
Cámara de Comercio de Medellín para Antioquia,1
Keltie LLP,1
FLUIDEX,1
au.inc - recently formed startup,1
UGent,1
Sick,1
BlockchainAsset,1
EDSE,1
University of Cyprus,1
Ministry of health and family welfare,1
Artificial Sensing instruments ASI AG,1
IBIMA,1
UNAB – Universidad Autónoma de Bucaramanga,1
UAM – Departamento de Física de Materiales,1
Universidad de Pamplona,1
Universidad Politècnica Salesiana,1
SEPE,1
Ministerio Hacienda,1
Vinseum,1
URJC,1
ENTIDAD LOCAL. AYUNTAMIENTO,1
Universidad Católica de Ávila,1
Ins Pedraforca,1
Philips Iberica,1
Beethik,1
INEUSTAR – Asociación Española de la Industria de la Ciencia,1
FECYT – Oficina Europea,1
UOC,1
SERHS Food,1
Eli2al Pharmamedics S.L.,1
Hernán Rodríguez,1
SECOT,1
Universidad de Valencia,1
JAZ Zubiaurre S.A.,1
Esade,1
"INVENTIA KINETICS, S.L.",1
Nucaps,1
Petronics Tecnología,1
MMT,1
Campofrio,1
Acceleralia S.L,1
Acció,1
IRIS Technology Solutions S.L.,1
IZASA Scientific/YA NO TRABAJA AQUI,1
OBRATEX,1
2bedigital,1
Segula,1
Alcyon Photonics,1
Biel Digital Glasses,1
European Physical Society,1
Materials Physics Centre,1
ATANA,1
Aromics,1
SLIMOP Space,1
HEXAGON/YA NO TRABAJA AQUI,1
Yutopias Systems,1
APPLUS Norcontrol,1
PROCAPTURE,1
Horizons Optical,1
IDEKO,1
