file_name,tables_read,rows_normalized,status
'Barcelona Photonics Dinner_2025-04-25_11-00'.xls,1,2,ok
'Become a Member_2025-04-25_10-49'.xls,1,9,ok
'BLOCK4coop_ Blockchain para la transformación digital de la Industria 4.0_2025-04-25_08-11'.xls,1,17,ok
'BLOCK4coop_ Digital transformation of companies with blockchain technology in Industry 4.0_2025-04-25_08-12'.xls,1,25,ok
'BLOCK4coop_ Transformación digital de las empresas con tecnología blockchain en la Industria 4.0_2025-04-25_08-12'.xls,1,4,ok
'Blockchain e Industria 4.0_2025-04-25_08-39'.xls,1,3,ok
'Bolsa de trabajo_2025-04-25_10-57'.xls,1,23,ok
'Branding para Pymes _ Best Practices 3_2025-04-24_15-39'.xls,1,1,ok
'Branding para Pymes _ Best Practices 3_2025-04-24_15-40'.xls,0,0,unreadable
'Branding para Pymes _ Best Practices 7_2025-04-24_15-29'.xls,1,4,ok
'Branding para Pymes _ Best Practices_2025-04-24_15-21'.xls,1,26,ok
'Celebramos la Navidad en el Metaverso. ¡No te la pierdas!_2025-04-25_08-10'.xls,1,2,ok
'Claves para un proceso de venta exitoso _ Best Practices 6_2025-04-24_15-42'.xls,0,0,unreadable
'Concurso Navidad _ La luz en Navidad_2025-04-25_10-48'.xls,1,1,ok
'Conectando deep tech startups con inversores & corporates (Madrid)_2025-04-25_10-54'.xls,1,24,ok
'Conectando sistemas de sensores inteligentes para la industria agroalimentaria_2025-04-25_08-03'.xls,1,71,ok
'Conexión Internacional _ Ecosistema de fotónica en Singapur_2025-04-24_15-57'.xls,1,1,ok
'CONNECTING SESSION _ B2B meeting - Industria 4.0 en sector alimentario_2025-04-25_09-25'.xls,1,8,ok
'CONNECTING SESSION _ B2B meeting - Sostenibilidad en el sector del agua_2025-04-25_09-25'.xls,1,1,ok
'CONNECTING SESSION _ B2B meetings - Industria 4.0 en sector alimentario_2025-04-25_09-24'.xls,1,1,ok
'CONNECTING SESSION _ B2B meetings - Industry 4.0 in the agri-food sector_2025-04-25_11-12'.xls,1,2,ok
'CONNECTING SESSION _ B2B meetings - Sostenibilidad en el sector del agua_2025-04-25_09-24'.xls,1,25,ok
'CONNECTING SESSION _ B2B meetings - Sustainability in the water sector_2025-04-25_11-12'.xls,1,40,ok
'Connecting smart sensor systems for the agrifood industry_2025-04-25_08-04'.xls,1,2,ok
'Contacto_2025-04-25_10-55'.xls,1,8,ok
'Contact_2025-04-25_10-57'.xls,1,9,ok
'CONTROL 2015_2025-04-25_11-11'.xls,1,1,ok
'CPI en sector sanitario _ Sesión de trabajo_2025-04-24_15-26'.xls,1,20,ok
'Creación de Valor Compartido en el sector Deep Tech_2025-04-25_11-11'.xls,1,14,ok
'CUSTODIAN Webinar_ Industrial laser solutions for better efficiency and lower costs_2025-04-25_09-31'.xls,1,21,ok
'CUSTODIAN Webinar_ Soluciones de láser industrial - mejor eficiencia y menores costes_2025-04-25_09-29'.xls,1,21,ok
'Cómo innovar con el Sincrotrón ALBA_2025-04-25_08-19'.xls,1,12,ok
'Cómo organizar tu evento en Koonstel 2_2025-04-25_08-16'.xls,1,5,ok
'Cómo organizar tu evento en Koonstel_2025-04-25_08-19'.xls,1,14,ok
'Deep Tech 4 Good Barcelona_2025-04-25_10-52'.xls,1,38,ok
'Deep Tech and Ethics_2025-04-25_09-28'.xls,1,1,ok
'Deep Tech for Smart Agriculture_2025-04-25_09-46'.xls,1,113,ok
'Deep tech for Sustainable Energy_2025-04-25_09-34'.xls,1,47,ok
'Deep Tech for Sustainable Packaging_2025-04-25_09-33'.xls,1,70,ok
'Deep tech for water treatment_2025-04-25_10-02'.xls,1,63,ok
'Deep tech para la energía sostenible_2025-04-25_09-42'.xls,1,14,ok
'Deep tech para tratamiento de agua_2025-04-25_10-06'.xls,1,84,ok
'Deep Tech para un envasado sostenible_2025-04-25_09-43'.xls,1,70,ok
'Deep Tech para una agricultura inteligente_2025-04-25_09-43'.xls,1,116,ok
'Deep tech para una energía sostenible_2025-04-25_09-26'.xls,1,22,ok
'Deep Tech revolution in the Post-Covid stage_2025-04-25_09-34'.xls,1,20,ok
'Deep Tech solutions against coronavirus_2025-04-25_10-03'.xls,1,3,ok
'Deep Tech Talent _ Best Practices 4_2025-04-24_15-32'.xls,1,7,ok
'Deep Tech Talent _ Best Practices_2025-04-24_15-21'.xls,1,15,ok
'Deep Tech y ética_2025-04-25_09-41'.xls,1,92,ok
'DELVY _ 3 Phantom Shares vs stock options_2025-04-25_08-15'.xls,1,20,ok
'DELVY _ 4 ¿Cómo afecta la normativa de protección de datos a tu empresa__2025-04-25_08-11'.xls,1,4,ok
'DELVY _ 5 ¿Cómo organizar una ronda de financiación__2025-04-25_08-08'.xls,1,15,ok
'DELVY _ 6 Novedades del Real Decreto 13_2022 sobre la nueva cotización de autónomos_2025-04-25_08-04'.xls,1,2,ok
'DELVY _ 7 Financiación alternativa a la financiación bancaria_2025-04-25_08-03'.xls,1,8,ok
'_Quieres conocernos mejor__2025-04-25_08-17'.xls,1,1,ok
'____Listeria 0_____ Tecnologías disruptivas en la industria del ibérico para garantizar la seguridad alimentaria_2025-04-24_15-45'.xls,1,44,ok
'¿Quieres conocernos mejor__2025-04-25_10-57'.xls,1,98,ok
'¿Qué problemas resuelve la ingeniería inversa__2025-04-25_08-18'.xls,1,18,ok
'¿Qué problemas resuelve la metrología óptica__2025-04-25_08-18'.xls,1,5,ok
