socio,socio_key,company_type,member_type,has_business_profile,member_profile_count,contact_record_count,subscriber_contact_count,retos_as_issuer_count,retos_as_applicant_count,has_member_profiles,has_contact_records,has_subscriber_contacts,has_retos_signal
ASINCAR,asincar,Centro o Grupo de I+D+i,Socio,True,5,1,8,0,1,True,True,True,True
AsorCAD Engineering,asorcadengineering,Pyme tecnológica,Socio,True,3,1,6,0,5,True,True,True,True
Axon Partners Group,axonpartnersgroup,Inversores y gestoras de VC o PE,Potencial,True,0,1,2,0,0,False,True,True,False
Backfund,backfund,Inversores y gestoras de VC o PE,Potencial,True,0,1,2,0,0,False,True,True,False
BANCO SABADELL BStartup10,bancosabadellbstartup10,Inversores y gestoras de VC o PE,Potencial,True,0,1,0,0,0,False,True,False,False
Baux,baux,End User o Coporate,OIC,True,0,1,1,0,0,False,True,True,False
BBraun,bbraun,End User o Coporate,OIC,True,0,1,3,0,0,False,True,True,False
BBVA,bbva,End User o Coporate,OIC,True,0,1,0,0,0,False,True,False,False
bcb,bcb,Pyme tecnológica,Socio,True,1,1,9,0,9,True,True,True,True
Beamagine,beamagine,Micropyme tecnológica,Socio,True,2,1,5,0,11,True,True,True,True
Beawre,beawre,Startup o Spinoff,Socio,True,1,1,2,0,1,True,True,True,True
Big Sur Ventures,bigsurventures,Inversores y gestoras de VC o PE,Socio,True,0,1,3,0,0,False,True,True,False
BIOBEE semiconductors,biobeesemiconductors,Startup o Spinoff,Socio,True,1,1,2,0,1,True,True,True,True
Biyiud,biyiud,Startup o Spinoff,Socio,True,1,1,3,0,0,True,True,True,False
Blind Faith Ventures,blindfaithventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,0,0,0,False,True,False,False
BSH,bsh,End User o Coporate,OIC,True,0,1,4,3,0,False,True,True,True
Bullnet Capital,bullnetcapital,Inversores y gestoras de VC o PE,Socio,True,1,1,6,0,0,True,True,True,False
CalSens,calsens,Pyme tecnológica,Socio,True,4,1,9,0,2,True,True,True,True
Cargill,cargill,End User o Coporate,OIC,True,0,1,1,0,0,False,True,True,False
CAT UAV,catuav,Pyme tecnológica,Socio,True,1,1,6,1,6,True,True,True,True
CCL Label,ccllabel,End User o Coporate,OIC,True,0,1,0,0,0,False,True,False,False
CD6 - UPC,cd6upc,Centro o Grupo de I+D+i,Socio,True,2,1,13,0,10,True,True,True,True
CDTI,cdti,Entidades Públicas e Instituciones,Socio,True,0,2,52,0,0,False,True,True,False
CEIT,ceit,Centro o Grupo de I+D+i,Socio,True,16,1,33,0,15,True,True,True,True
Celsa,celsa,End User o Coporate,Socio,True,2,1,6,6,0,True,True,True,True
CEMDATIC - UPM,cemdaticupm,Centro o Grupo de I+D+i,Socio,True,2,1,11,0,3,True,True,True,True
CIMNE,cimne,Centro o Grupo de I+D+i,Socio,True,4,1,9,0,0,True,True,True,False
Clave Capital,clavecapital,Inversores y gestoras de VC o PE,Potencial,True,1,1,4,0,0,True,True,True,False
CODORNIU,codorniu,End User o Coporate,OIC,True,0,1,3,0,0,False,True,True,False
Coherent España,coherentespana,Gran Empresa tecnológica,Socio,True,2,1,2,0,0,True,True,True,False
Continental Automotive Spain,continentalautomotivespain,End User o Coporate,OIC,True,0,1,0,0,0,False,True,False,False
COVAP,covap,End User o Coporate,Socio,True,2,1,10,1,0,True,True,True,True
CRB Health Tech,crbhealthtech,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
CVBLab,cvblab,Centro o Grupo de I+D+i,Socio,True,3,1,4,0,1,True,True,True,True
CVC,cvc,Centro o Grupo de I+D+i,Socio,True,1,1,10,0,2,True,True,True,True
DeepTech Builder,deeptechbuilder,Inversores y gestoras de VC o PE,Baja,True,5,1,4,0,0,True,True,True,False
Delvy,delvy,Micropyme tecnológica,Socio,True,1,1,11,0,0,True,True,True,False
"Demea Sustainable Investments, S.A.",demeasustainableinvestmentssa,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
Deneb Medical,denebmedical,Micropyme tecnológica,Socio,True,1,1,4,0,0,True,True,True,False
Diip Artificial Intelligence,diipartificialintelligence,Startup o Spinoff,Socio,True,1,1,2,0,2,True,True,True,True
Draco Systems,dracosystems,Micropyme tecnológica,Socio,True,1,1,3,0,9,True,True,True,True
Dronomy,dronomy,Startup o Spinoff,Socio,True,1,1,2,0,4,True,True,True,True
EASO VENTURES SCR,easoventuresscr,Inversores y gestoras de VC o PE,Socio,True,2,1,3,0,0,True,True,True,False
Elewit,elewit,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
Encomenda,encomenda,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
Eurecat,eurecat,Centro o Grupo de I+D+i,Socio,True,12,1,69,0,22,True,True,True,True
Evlox,evlox,End User o Coporate,OIC,True,0,1,0,0,0,False,True,False,False
EXOM engineering,exomengineering,Startup o Spinoff,Socio,True,4,1,6,0,1,True,True,True,True
Fagor Automation,fagorautomation,Gran Empresa tecnológica,Socio,True,2,1,5,0,0,True,True,True,False
Fides Capital,fidescapital,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
FOSSA Systems,fossasystems,Pyme tecnológica,Socio,True,0,1,4,0,0,False,True,True,False
Frit Ravich,fritravich,End User o Coporate,OIC,True,0,1,10,0,0,False,True,True,False
Fujitsu,fujitsu,Gran Empresa tecnológica,Socio,True,4,1,14,0,6,True,True,True,True
FUNDACIÓN GENERAL CSIC,fundaciongeneralcsic,Centro o Grupo de I+D+i,Socio,True,2,1,6,0,0,True,True,True,False
Fundación Idonial,fundacionidonial,Centro o Grupo de I+D+i,Socio,True,0,1,4,0,0,False,True,True,False
GPAINNOVA,gpainnova,Pyme tecnológica,Socio,True,2,1,10,5,1,True,True,True,True
Graphenea,graphenea,Pyme tecnológica,Socio,True,6,1,6,0,0,True,True,True,False
Greenlight Solutions,greenlightsolutions,Micropyme tecnológica,Socio,True,3,1,5,0,4,True,True,True,True
Grupo Elecnor,grupoelecnor,End User o Coporate,OIC,True,0,1,0,0,0,False,True,False,False
Grupo Oesía,grupooesia,Gran Empresa tecnológica,Socio,True,9,1,11,0,0,True,True,True,False
Hamamatsu Photonics,hamamatsuphotonics,Gran Empresa tecnológica,Socio,True,3,1,11,0,0,True,True,True,False
Hasten Ventures,hastenventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
HIMIKODE,himikode,Startup o Spinoff,Socio,True,0,1,5,0,0,False,True,True,False
Hospital Clínic de Barcelona,hospitalclinicdebarcelona,Centro o Grupo de I+D+i,OIC,True,0,1,13,0,0,False,True,True,False
Hospital Germans Trias i Pujol,hospitalgermanstriasipujol,Centro o Grupo de I+D+i,OIC,True,0,1,3,1,0,False,True,True,True
HP,hp,End User o Coporate,OIC,True,0,1,9,0,0,False,True,True,False
ICF CAPITAL,icfcapital,Inversores y gestoras de VC o PE,Potencial,True,0,1,2,0,0,False,True,True,False
ICFO,icfo,Centro o Grupo de I+D+i,Socio,True,2,1,37,0,10,True,True,True,True
ICMAB - CSIC,icmabcsic,Centro o Grupo de I+D+i,Socio,True,10,1,19,0,0,True,True,True,False
ICMM,icmm,Entidades Públicas e Instituciones,Socio,True,14,1,0,0,0,True,True,False,False
IKERLAN,ikerlan,Centro o Grupo de I+D+i,Socio,True,3,1,15,0,1,True,True,True,True
Imasenic,imasenic,Micropyme tecnológica,Socio,True,1,1,2,0,8,True,True,True,True
IMB-CNM,imbcnm,Centro o Grupo de I+D+i,Socio,True,10,1,18,0,9,True,True,True,True
IN2UB,in2ub,Centro o Grupo de I+D+i,Socio,True,2,1,13,0,9,True,True,True,True
INBROOLL,inbrooll,Micropyme tecnológica,Socio,True,3,1,4,0,0,True,True,True,False
INDO,indo,Pyme tecnológica,Socio,True,1,1,4,0,0,True,True,True,False
INMA-CSIC,inmacsic,Entidades Públicas e Instituciones,Socio,True,1,1,6,0,0,True,True,True,False
Inmersia,inmersia,Micropyme tecnológica,Socio,True,0,1,4,0,0,False,True,True,False
Instituto de Óptica (CSIC),institutodeopticacsic,Centro o Grupo de I+D+i,Socio,True,6,1,22,0,0,True,True,True,False
Invivo Capital,invivocapital,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
IOVI Intelligent Vision,ioviintelligentvision,Micropyme tecnológica,Socio,True,2,1,6,0,5,True,True,True,True
iPronics,ipronics,Pyme tecnológica,Socio,True,0,1,10,0,0,False,True,True,False
IRTA,irta,Centro o Grupo de I+D+i,Socio,True,10,1,19,0,0,True,True,True,False
Kadans Science Partner,kadanssciencepartner,Pyme tecnológica,Socio,True,1,1,3,0,0,True,True,True,False
KD,kd,Pyme tecnológica,Socio,True,4,1,17,0,0,True,True,True,False
Laboratorios HARTMANN,laboratorioshartmann,End User o Coporate,OIC,True,0,1,1,1,0,False,True,True,True
LAINTEC,laintec,Centro o Grupo de I+D+i,Socio,True,1,1,4,0,0,True,True,True,False
Laser Line Scanning,laserlinescanning,Startup o Spinoff,Socio,True,0,1,3,0,1,False,True,True,True
Lecta,lecta,End User o Coporate,OIC,True,0,1,1,0,0,False,True,True,False
Leitat,leitat,Centro o Grupo de I+D+i,Socio,True,13,1,46,0,18,True,True,True,True
Lenz Instruments,lenzinstruments,Micropyme tecnológica,Socio,True,0,1,3,0,6,False,True,True,True
LIDAX,lidax,Pyme tecnológica,Socio,True,1,1,3,0,0,True,True,True,False
Lubrizol,lubrizol,Gran Empresa tecnológica,OIC,True,0,1,7,0,0,False,True,True,False
LVD Biotech,lvdbiotech,Gran Empresa tecnológica,Socio,True,1,1,6,2,0,True,True,True,True
LÚCID,lucid,Pyme tecnológica,Baja Solicitada,True,2,1,7,0,1,True,True,True,True
Macsa ID,macsaid,Pyme tecnológica,Socio,True,2,1,15,0,3,True,True,True,True
Mahou san Miguel,mahousanmiguel,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
MAIMAN ELECTRONICS,maimanelectronics,Startup o Spinoff,Socio,True,0,1,2,0,0,False,True,True,False
Mapsi Photonics,mapsiphotonics,Startup o Spinoff,Socio,True,1,1,2,0,2,True,True,True,True
MASENSE TECH,masensetech,Startup o Spinoff,Socio,True,2,1,3,0,0,True,True,True,False
Master in Photonics - Europhotonics,masterinphotonicseurophotonics,Centro o Grupo de I+D+i,Socio,True,0,1,3,0,0,False,True,True,False
MiCos Iberia,micosiberia,Micropyme tecnológica,Socio,True,1,1,1,0,0,True,True,True,False
Micrauto,micrauto,Micropyme tecnológica,Socio,True,0,1,3,1,1,False,True,True,True
Monocrom,monocrom,Pyme tecnológica,Socio,True,5,1,7,0,5,True,True,True,True
Mundi Ventures,mundiventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
Nabla Vision,nablavision,Startup o Spinoff,Socio,True,0,1,2,0,5,False,True,True,True
Nanoker,nanoker,Pyme tecnológica,Socio,True,1,1,4,0,0,True,True,True,False
Nanophotonics Technology Center,nanophotonicstechnologycenter,Centro o Grupo de I+D+i,Socio,True,2,1,22,0,0,True,True,True,False
Navantia,navantia,End User o Coporate,OIC,True,0,1,5,0,0,False,True,True,False
Nestlé,nestle,End User o Coporate,OIC,True,0,1,2,0,0,False,True,True,False
New Infrared Technologies,newinfraredtechnologies,Micropyme tecnológica,Socio,True,3,1,9,0,4,True,True,True,True
NIMBLE Diagnostics,nimblediagnostics,Startup o Spinoff,Socio,True,1,1,2,0,0,True,True,True,False
Northern Waves AB,northernwavesab,Startup o Spinoff,Socio,True,1,1,3,0,0,True,True,True,False
Nulab,nulab,Startup o Spinoff,Socio,True,1,1,5,0,3,True,True,True,True
Ocean Ecostructures,oceanecostructures,Startup o Spinoff,Socio,True,1,1,5,0,0,True,True,True,False
Ommatidia Lidar,ommatidialidar,Startup o Spinoff,Socio,True,0,1,10,0,3,False,True,True,True
OPTOSIGMA,optosigma,Gran Empresa tecnológica,Socio,True,0,1,3,0,0,False,True,True,False
Pal Robotics,palrobotics,Pyme tecnológica,Socio,True,3,1,11,1,0,True,True,True,True
Palex Scientific,palexscientific,Gran Empresa tecnológica,Socio,True,8,1,1,0,0,True,True,True,False
Photonics Research Labs,photonicsresearchlabs,Centro o Grupo de I+D+i,Socio,True,2,1,14,0,0,True,True,True,False
PONTI & PARTNERS,pontipartners,Pyme tecnológica,Socio,True,3,1,10,0,0,True,True,True,False
ProCareLight,procarelight,Micropyme tecnológica,Socio,True,3,1,6,0,6,True,True,True,True
Promsa,promsa,End User o Coporate,OIC,True,0,1,2,2,0,False,True,True,True
QPO,qpo,Startup o Spinoff,Socio,True,0,1,4,0,0,False,True,True,False
Qurv Technologies,qurvtechnologies,Startup o Spinoff,Socio,True,0,1,3,0,3,False,True,True,True
Quside,quside,Micropyme tecnológica,Socio,True,1,1,14,0,3,True,True,True,True
Radiantis,radiantis,Micropyme tecnológica,Socio,True,4,1,7,1,3,True,True,True,True
rbz,rbz,Pyme tecnológica,Socio,True,1,1,7,0,8,True,True,True,True
Recursos Laser,recursoslaser,Micropyme tecnológica,Socio,True,0,1,1,0,7,False,True,True,True
Repsol,repsol,End User o Coporate,OIC,True,0,1,17,0,0,False,True,True,False
Robotnik,robotnik,Pyme tecnológica,Socio,True,7,1,12,0,4,True,True,True,True
Roca,roca,End User o Coporate,OIC,True,0,1,3,0,0,False,True,True,False
Rosepetal,rosepetal,Startup o Spinoff,Socio,True,1,1,2,0,2,True,True,True,True
Rumbo Ventures,rumboventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,0,0,0,False,True,False,False
SAIKARIS,saikaris,Startup o Spinoff,Socio,True,1,1,1,0,2,True,True,True,True
SEAT,seat,End User o Coporate,OIC,True,0,1,7,0,0,False,True,True,False
SENER,sener,End User o Coporate,OIC,True,0,1,6,0,1,False,True,True,True
Sens Solutions,senssolutions,Startup o Spinoff,Socio,True,0,1,3,0,0,False,True,True,False
Sensofar Medical,sensofarmedical,Micropyme tecnológica,Socio,True,0,1,5,0,0,False,True,True,False
Sensofar Metrology,sensofarmetrology,Pyme tecnológica,Socio,True,3,1,7,0,0,True,True,True,False
SETT,sett,Inversores y gestoras de VC o PE,Partner,True,0,1,5,0,0,False,True,True,False
shinephi,shinephi,Startup o Spinoff,Socio,True,3,2,2,0,0,True,True,True,False
Ship2B Ventures,ship2bventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,0,0,0,False,True,False,False
singular things,singularthings,Startup o Spinoff,Socio,True,0,1,6,0,5,False,True,True,True
SISTAM,sistam,Startup o Spinoff,Socio,True,1,2,2,0,6,True,True,True,True
Solar MEMS Technologies,solarmemstechnologies,Pyme tecnológica,Socio,True,3,2,0,0,0,True,True,False,False
Standard Profil,standardprofil,End User o Coporate,OIC,True,0,1,1,0,0,False,True,True,False
Star Robotics,starrobotics,Micropyme tecnológica,Socio,True,2,1,3,0,0,True,True,True,False
Stimulo,stimulo,Pyme tecnológica,Socio,True,5,1,6,0,7,True,True,True,True
Subsea Mechatronics,subseamechatronics,Startup o Spinoff,Socio,True,1,1,3,0,2,True,True,True,True
Suma Capital,sumacapital,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
Swanlaab Venture Factory,swanlaabventurefactory,Inversores y gestoras de VC o PE,Potencial,True,0,1,1,0,0,False,True,True,False
t2c,t2c,Pyme tecnológica,Socio,True,2,1,6,0,3,True,True,True,True
Tecnalia,tecnalia,Centro o Grupo de I+D+i,Socio,True,14,1,58,1,12,True,True,True,True
TEKHNĒ,tekhne,Startup o Spinoff,Socio,True,0,1,2,0,3,False,True,True,True
Tekniker,tekniker,Centro o Grupo de I+D+i,Socio,True,7,1,53,0,14,True,True,True,True
Telefónica,telefonica,End User o Coporate,OIC,True,0,1,4,0,0,False,True,True,False
Thales Alenia Space España,thalesaleniaspaceespana,Gran Empresa tecnológica,Socio,True,5,1,4,1,0,True,True,True,True
TMB,tmb,End User o Coporate,OIC,True,0,1,3,0,0,False,True,True,False
TRADEBE,tradebe,End User o Coporate,OIC,True,0,2,5,0,0,False,True,True,False
UAB,uab,Centro o Grupo de I+D+i,Socio,True,8,1,36,0,4,True,True,True,True
UDIT,udit,Centro o Grupo de I+D+i,Socio,True,0,1,10,0,0,False,True,True,False
UPV - EHU,upvehu,Centro o Grupo de I+D+i,Socio,True,0,1,7,0,2,False,True,True,True
Velcro,velcro,End User o Coporate,OIC,True,0,1,0,0,0,False,True,False,False
Vicomtech,vicomtech,Centro o Grupo de I+D+i,Socio,True,4,1,19,0,1,True,True,True,True
VIGO Ventures,vigoventures,Inversores y gestoras de VC o PE,Potencial,True,0,1,2,0,0,False,True,True,False
Visiona,visiona,Micropyme tecnológica,Socio,True,0,1,5,0,2,False,True,True,True
VLC Photonics,vlcphotonics,End User o Coporate,Socio,True,5,1,16,0,1,True,True,True,True
WA4STEAM,wa4steam,Inversores y gestoras de VC o PE,Potencial,True,0,1,6,0,0,False,True,True,False
WOOPTIX,wooptix,Pyme tecnológica,Socio,True,2,1,11,0,0,True,True,True,False
YSIUM MEDICAL,ysiummedical,Startup o Spinoff,Socio,True,0,1,2,0,0,False,True,True,False
Zabala Innovation,zabalainnovation,Gran Empresa tecnológica,Socio,True,1,1,53,1,0,True,True,True,True
Zepren Solutions,zeprensolutions,Startup o Spinoff,Socio,True,2,1,7,0,7,True,True,True,True
