entity_key,entity_name,sources,is_official_socio,has_business_profile,has_contact_record,has_member_profile,has_subscriber_contact,source_count
lidax,LIDAX,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
lvdbiotech,LVD Biotech,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
leitat,Leitat,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
lucid,LÚCID,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
masensetech,MASENSE TECH,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
macsaid,Macsa ID,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
mapsiphotonics,Mapsi Photonics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
micosiberia,MiCos Iberia,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
monocrom,Monocrom,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
nimblediagnostics,NIMBLE Diagnostics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
nanoker,Nanoker,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
nanophotonicstechnologycenter,Nanophotonics Technology Center,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
newinfraredtechnologies,New Infrared Technologies,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
northernwavesab,Northern Waves AB,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
nulab,Nulab,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
oceanecostructures,Ocean Ecostructures,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
pontipartners,PONTI & PARTNERS,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
palrobotics,Pal Robotics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
palexscientific,Palex Scientific,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
photonicsresearchlabs,Photonics Research Labs,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
procarelight,ProCareLight,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
quside,Quside,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
radiantis,Radiantis,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
robotnik,Robotnik,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
rosepetal,Rosepetal,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
saikaris,SAIKARIS,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
sistam,SISTAM,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
sensofarmetrology,Sensofar Metrology,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
starrobotics,Star Robotics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
stimulo,Stimulo,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
subseamechatronics,Subsea Mechatronics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
tecnalia,Tecnalia,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
tekniker,Tekniker,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
thalesaleniaspaceespana,Thales Alenia Space España,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
uab,UAB,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
vlcphotonics,VLC Photonics,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
vicomtech,Vicomtech,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
wooptix,WOOPTIX,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
zabalainnovation,Zabala Innovation,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
zeprensolutions,Zepren Solutions,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
bcb,bcb,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
rbz,rbz,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
shinephi,shinephi,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
t2c,t2c,datoscontacto | members | socios_normalized | suscriptores,True,True,True,True,True,4
abertis,Abertis,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
adaraventures,Adara Ventures,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
airdronelogistics,Air Drone Logistics,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
airbusdefencespace,Airbus Defence&Space,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
aleatica,Aleatica,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
analogthinking,Analog thinking,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
angulasaguinaga,Angulas Aguinaga,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
asabyspartners,Asabys Partners,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
axonpartnersgroup,Axon Partners Group,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
bbraun,BBraun,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
bsh,BSH,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
backfund,Backfund,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
baux,Baux,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
bigsurventures,Big Sur Ventures,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
cdti,CDTI,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
codorniu,CODORNIU,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
crbhealthtech,CRB Health Tech,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
cargill,Cargill,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
demeasustainableinvestmentssa,"Demea Sustainable Investments, S.A.",datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
elewit,Elewit,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
encomenda,Encomenda,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
fossasystems,FOSSA Systems,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
fidescapital,Fides Capital,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
fritravich,Frit Ravich,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
fundacionidonial,Fundación Idonial,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
himikode,HIMIKODE,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
hp,HP,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
hastenventures,Hasten Ventures,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
hospitalclinicdebarcelona,Hospital Clínic de Barcelona,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
hospitalgermanstriasipujol,Hospital Germans Trias i Pujol,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
icfcapital,ICF CAPITAL,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
icmm,ICMM,datoscontacto | members | socios_normalized,True,True,True,True,False,3
inmersia,Inmersia,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
invivocapital,Invivo Capital,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
laboratorioshartmann,Laboratorios HARTMANN,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
laserlinescanning,Laser Line Scanning,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
lecta,Lecta,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
lenzinstruments,Lenz Instruments,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
lubrizol,Lubrizol,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
maimanelectronics,MAIMAN ELECTRONICS,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
mahousanmiguel,Mahou san Miguel,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
masterinphotonicseurophotonics,Master in Photonics - Europhotonics,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
micrauto,Micrauto,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
mundiventures,Mundi Ventures,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
nablavision,Nabla Vision,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
navantia,Navantia,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
nestle,Nestlé,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
optosigma,OPTOSIGMA,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
ommatidialidar,Ommatidia Lidar,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
promsa,Promsa,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
qpo,QPO,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
qurvtechnologies,Qurv Technologies,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
recursoslaser,Recursos Laser,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
repsol,Repsol,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
roca,Roca,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
seat,SEAT,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
sener,SENER,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
sett,SETT,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
senssolutions,Sens Solutions,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
sensofarmedical,Sensofar Medical,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
solarmemstechnologies,Solar MEMS Technologies,datoscontacto | members | socios_normalized,True,True,True,True,False,3
standardprofil,Standard Profil,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
sumacapital,Suma Capital,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
swanlaabventurefactory,Swanlaab Venture Factory,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
tekhne,TEKHNĒ,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
tmb,TMB,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
tradebe,TRADEBE,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
telefonica,Telefónica,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
udit,UDIT,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
upvehu,UPV - EHU,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
vigoventures,VIGO Ventures,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
visiona,Visiona,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
wa4steam,WA4STEAM,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
ysiummedical,YSIUM MEDICAL,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
ipronics,iPronics,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
singularthings,singular things,datoscontacto | socios_normalized | suscriptores,True,True,True,False,True,3
bancosabadellbstartup10,BANCO SABADELL BStartup10,datoscontacto | socios_normalized,True,True,True,False,False,2
bbva,BBVA,datoscontacto | socios_normalized,True,True,True,False,False,2
blindfaithventures,Blind Faith Ventures,datoscontacto | socios_normalized,True,True,True,False,False,2
ccllabel,CCL Label,datoscontacto | socios_normalized,True,True,True,False,False,2
continentalautomotivespain,Continental Automotive Spain,datoscontacto | socios_normalized,True,True,True,False,False,2
evlox,Evlox,datoscontacto | socios_normalized,True,True,True,False,False,2
grupoelecnor,Grupo Elecnor,datoscontacto | socios_normalized,True,True,True,False,False,2
rumboventures,Rumbo Ventures,datoscontacto | socios_normalized,True,True,True,False,False,2
ship2bventures,Ship2B Ventures,datoscontacto | socios_normalized,True,True,True,False,False,2
velcro,Velcro,datoscontacto | socios_normalized,True,True,True,False,False,2
arcbcnwattega,ARCbcn-WATTEGA,datoscontacto | members | suscriptores,False,False,True,True,True,3
alteriaautomation,Alteria Automation,datoscontacto | members | suscriptores,False,False,True,True,True,3
artikodeintelligence,Artikode Intelligence,datoscontacto | members | suscriptores,False,False,True,True,True,3
cidetecenergystorage,CIDETEC Energy Storage,datoscontacto | members | suscriptores,False,False,True,True,True,3
distinkt,Distinkt,datoscontacto | members | suscriptores,False,False,True,True,True,3
enhol,ENHOL,datoscontacto | members | suscriptores,False,False,True,True,True,3
falconelectronica,FALCON ELECTRONICA,datoscontacto | members | suscriptores,False,False,True,True,True,3
inescop,INESCOP,datoscontacto | members | suscriptores,False,False,True,True,True,3
iberoptics,Iberoptics,datoscontacto | members | suscriptores,False,False,True,True,True,3
innogando,Innogando,datoscontacto | members | suscriptores,False,False,True,True,True,3
leapwavetechnologies,LeapWave Technologies,datoscontacto | members | suscriptores,False,False,True,True,True,3
magnetika,Magnetika,datoscontacto | members | suscriptores,False,False,True,True,True,3
microlanaerospace,Microlan Aerospace,datoscontacto | members | suscriptores,False,False,True,True,True,3
microrelleus,Microrelleus,datoscontacto | members | suscriptores,False,False,True,True,True,3
naitec,NAITEC,datoscontacto | members | suscriptores,False,False,True,True,True,3
picadvanced,PICadvanced,datoscontacto | members | suscriptores,False,False,True,True,True,3
satlantis,SATLANTIS,datoscontacto | members | suscriptores,False,False,True,True,True,3
sensiasolutions,Sensia Solutions,datoscontacto | members | suscriptores,False,False,True,True,True,3
stenegpartnerssl,Steneg & Partners S.L.,datoscontacto | members | suscriptores,False,False,True,True,True,3
uptechsensing,Uptech Sensing,datoscontacto | members | suscriptores,False,False,True,True,True,3
volkswagennavarra,Volkswagen Navarra,datoscontacto | members | suscriptores,False,False,True,True,True,3
zelestiumtechnologies,Zelestium Technologies,datoscontacto | members | suscriptores,False,False,True,True,True,3
dasnano,das-Nano,datoscontacto | members | suscriptores,False,False,True,True,True,3
28digital,28DIGITAL,datoscontacto | suscriptores,False,False,True,False,True,2
3dzings,3DZings,datoscontacto | suscriptores,False,False,True,False,True,2
3m,3M,datoscontacto | suscriptores,False,False,True,False,True,2
3drivers,3drivers,datoscontacto | suscriptores,False,False,True,False,True,2
42madrid,42Madrid,datoscontacto | suscriptores,False,False,True,False,True,2
4jet,4Jet,datoscontacto | suscriptores,False,False,True,False,True,2
963636301,963636301,datoscontacto | suscriptores,False,False,True,False,True,2
abcfarma,ABC Farma,datoscontacto | suscriptores,False,False,True,False,True,2
abmserveisdenginyeriaiconsultingsl,"ABM Serveis d'Enginyeria i Consulting, SL",datoscontacto | suscriptores,False,False,True,False,True,2
acciona,ACCIONA,datoscontacto | suscriptores,False,False,True,False,True,2
accio,ACCIÓ,datoscontacto | suscriptores,False,False,True,False,True,2
adnpymes,ADN pymes,datoscontacto | suscriptores,False,False,True,False,True,2
adaticaengineeringsl,ADÁTICA Engineering S.L.,datoscontacto | suscriptores,False,False,True,False,True,2
aecim,AECIM,datoscontacto | suscriptores,False,False,True,False,True,2
aeitextils,AEI Textils,datoscontacto | suscriptores,False,False,True,False,True,2
aeraasociacionaeronauticaaragonesa,AERA - Asociación Aeronáutica Aragonesa,datoscontacto | suscriptores,False,False,True,False,True,2
agphotonics,AG-Photonics,datoscontacto | suscriptores,False,False,True,False,True,2
agrinpulse,AGRIN’PULSE,datoscontacto | suscriptores,False,False,True,False,True,2
agromillora,AGROMILLORA,datoscontacto | suscriptores,False,False,True,False,True,2
agropecuariaobanos,AGROPECUARIA OBANOS,datoscontacto | suscriptores,False,False,True,False,True,2
aidacci,AIDA CCI,datoscontacto | suscriptores,False,False,True,False,True,2
aimplasinstitutotecnologicodelplastico,AIMPLAS - Instituto Tecnológico del Plástico,datoscontacto | suscriptores,False,False,True,False,True,2
aisaplicacionesdeinteligenciaartificialsa,"AIS, Aplicaciones de Inteligencia Artificial. S.A.",datoscontacto | suscriptores,False,False,True,False,True,2
aldicentraldecompras,ALDI Central de Compras,datoscontacto | suscriptores,False,False,True,False,True,2
altusgroup,ALTUS GROUP,datoscontacto | suscriptores,False,False,True,False,True,2
amicqueensuniversitybelfast,AMIC Queens University Belfast,datoscontacto | suscriptores,False,False,True,False,True,2
apgspainsl,APG SPAIN SL,datoscontacto | suscriptores,False,False,True,False,True,2
apliter,APLITER,datoscontacto | suscriptores,False,False,True,False,True,2
applusnorcontrol,APPLUS Norcontrol,datoscontacto | suscriptores,False,False,True,False,True,2
aquilessolutions,AQUILES SOLUTIONS,datoscontacto | suscriptores,False,False,True,False,True,2
aragoninnovalimenclusteraragonesdealimentacion,ARAGON INNOVALIMEN - Cluster Aragonés de Alimentación,datoscontacto | suscriptores,False,False,True,False,True,2
arnoinfraestructguras,ARNÓ INFRAESTRUCTGURAS,datoscontacto | suscriptores,False,False,True,False,True,2
articaingenieraeinnovacion,ARTICA INGENIERA E INNOVACION,datoscontacto | suscriptores,False,False,True,False,True,2
araymondagriculture,ARaymond Agriculture,datoscontacto | suscriptores,False,False,True,False,True,2
asortec,ASORTEC,datoscontacto | suscriptores,False,False,True,False,True,2
asturfeito,ASTURFEITO,datoscontacto | suscriptores,False,False,True,False,True,2
atriainnovation,ATRIA Innovation,datoscontacto | suscriptores,False,False,True,False,True,2
avesnoblesyderivadossl,"AVES NOBLES Y DERIVADOS, S.L.",datoscontacto | suscriptores,False,False,True,False,True,2
avsr,AVSR,datoscontacto | suscriptores,False,False,True,False,True,2
axisgrupoico,AXIS (Grupo ICO),datoscontacto | suscriptores,False,False,True,False,True,2
axvance,AXVANCE,datoscontacto | suscriptores,False,False,True,False,True,2
abacus,Abacus,datoscontacto | suscriptores,False,False,True,False,True,2
abanca,Abanca,datoscontacto | suscriptores,False,False,True,False,True,2
abbottmedicaloptics,Abbott Medical optics,datoscontacto | suscriptores,False,False,True,False,True,2
accenture,Accenture,datoscontacto | suscriptores,False,False,True,False,True,2
aciturritech,Aciturri Tech,datoscontacto | suscriptores,False,False,True,False,True,2
acrosslegal,Across Legal,datoscontacto | suscriptores,False,False,True,False,True,2
adasasistemas,Adasa Sistemas,datoscontacto | suscriptores,False,False,True,False,True,2
additivespaces,Additive Spaces,datoscontacto | suscriptores,False,False,True,False,True,2
adiegosociodezinnae,Adiego (Socio de Zinnae),datoscontacto | suscriptores,False,False,True,False,True,2
aernnova,Aernnova,datoscontacto | suscriptores,False,False,True,False,True,2
aerolasersystem,Aerolaser System,datoscontacto | suscriptores,False,False,True,False,True,2
aerosolutionsspainsl,Aerosolutions Spain SL,datoscontacto | suscriptores,False,False,True,False,True,2
aertecsolutions,Aertec Solutions,datoscontacto | suscriptores,False,False,True,False,True,2
agbarcetaqua,Agbar/Cetaqua,datoscontacto | suscriptores,False,False,True,False,True,2
agenciaidea,Agencia IDEA,datoscontacto | suscriptores,False,False,True,False,True,2
agolariluminacion,Agolar Iluminación,datoscontacto | suscriptores,False,False,True,False,True,2
agrenvec,Agrenvec,datoscontacto | suscriptores,False,False,True,False,True,2
aiguesdemanresasa,"Aigües de Manresa, S.A.",datoscontacto | suscriptores,False,False,True,False,True,2
aiguesdemataro,Aigües de Mataró,datoscontacto | suscriptores,False,False,True,False,True,2
airtificial,Airtificial,datoscontacto | suscriptores,False,False,True,False,True,2
airvantmedicionesambientalessl,Airvant Mediciones Ambientales SL,datoscontacto | suscriptores,False,False,True,False,True,2
aislamientossuaval,Aislamientos SUAVAL,datoscontacto | suscriptores,False,False,True,False,True,2
aistechspace,Aistech Space,datoscontacto | suscriptores,False,False,True,False,True,2
ajuntamentterrassaorbital40,Ajuntament Terrassa / Orbital 40,datoscontacto | suscriptores,False,False,True,False,True,2
akoneer,Akoneer,datoscontacto | suscriptores,False,False,True,False,True,2
albacora,Albacora,datoscontacto | suscriptores,False,False,True,False,True,2
alcoa,Alcoa,datoscontacto | suscriptores,False,False,True,False,True,2
alconlaboratories,Alcon Laboratories,datoscontacto | suscriptores,False,False,True,False,True,2
alcyonphotonics,Alcyon Photonics,datoscontacto | suscriptores,False,False,True,False,True,2
algasol,Algasol,datoscontacto | suscriptores,False,False,True,False,True,2
alibavasystems,Alibava Systems,datoscontacto | suscriptores,False,False,True,False,True,2
alimmenta,Alimmenta,datoscontacto | suscriptores,False,False,True,False,True,2
alisysrobotics,Alisys Robotics,datoscontacto | suscriptores,False,False,True,False,True,2
almamedical,Alma Medical,datoscontacto | suscriptores,False,False,True,False,True,2
almamedicalimaging,Alma Medical Imaging,datoscontacto | suscriptores,False,False,True,False,True,2
almamobility,Alma Mobility,datoscontacto | suscriptores,False,False,True,False,True,2
almendrasllopis,Almendras Llopis,datoscontacto | suscriptores,False,False,True,False,True,2
alpeindustrial,Alpe Industrial,datoscontacto | suscriptores,False,False,True,False,True,2
alstom,Alstom,datoscontacto | suscriptores,False,False,True,False,True,2
alstomtransportesa,Alstom Transporte S.A.,datoscontacto | suscriptores,False,False,True,False,True,2
altechnarndwop,Altechna rnd / wop,datoscontacto | suscriptores,False,False,True,False,True,2
altran,Altran,datoscontacto | suscriptores,False,False,True,False,True,2
analogdevices,Analog Devices,datoscontacto | suscriptores,False,False,True,False,True,2
andaluciaaerospace,Andalucía Aerospace,datoscontacto | suscriptores,False,False,True,False,True,2
andalusearoboticasubmarina,Andalú Sea Robótica Submarina,datoscontacto | suscriptores,False,False,True,False,True,2
anemoroboticsaps,Anemo Robotics ApS,datoscontacto | suscriptores,False,False,True,False,True,2
animar,Animar,datoscontacto | suscriptores,False,False,True,False,True,2
antaresinstrumentacion,Antares Instrumentación,datoscontacto | suscriptores,False,False,True,False,True,2
anteral,Anteral,datoscontacto | suscriptores,False,False,True,False,True,2
